n_drones,payload_kg,distance_km,fleet_Wh_per_km,cruise_Wh_per_drone,available_cruise_Wh_per_drone,CL,CD_total,thrust_required_per_drone_N,power_required_per_drone_W,feasible,reason
6,0.0,30.0,56.41837883669031,282.0918941834516,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,32.0,42.99725434173732,687.9560694677972,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,False,battery 688.0 Wh > 422.3 Wh
3,0.0,32.0,46.352535465475576,494.42704496507287,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,False,battery 494.4 Wh > 422.3 Wh
4,0.0,32.0,49.70781658921383,397.6625327137107,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,True,
5,0.0,32.0,53.06309771295207,339.6038253628933,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,32.0,56.41837883669031,300.8980204623483,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,34.0,42.99725434173732,730.9533238095344,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,False,battery 731.0 Wh > 422.3 Wh
3,0.0,34.0,46.352535465475576,525.3287352753899,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,False,battery 525.3 Wh > 422.3 Wh
4,0.0,34.0,49.70781658921383,422.5164410083176,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,False,battery 422.5 Wh > 422.3 Wh
5,0.0,34.0,53.06309771295207,360.8290644480741,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,34.0,56.41837883669031,319.7041467412451,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,36.0,42.99725434173732,773.9505781512718,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,False,battery 774.0 Wh > 422.3 Wh
3,0.0,36.0,46.352535465475576,556.2304255857069,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,False,battery 556.2 Wh > 422.3 Wh
4,0.0,36.0,49.70781658921383,447.3703493029245,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,False,battery 447.4 Wh > 422.3 Wh
5,0.0,36.0,53.06309771295207,382.05430353325494,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,36.0,56.41837883669031,338.5102730201419,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,38.0,42.99725434173732,816.9478324930091,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,False,battery 816.9 Wh > 422.3 Wh
3,0.0,38.0,46.352535465475576,587.1321158960241,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,False,battery 587.1 Wh > 422.3 Wh
4,0.0,38.0,49.70781658921383,472.2242575975314,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,False,battery 472.2 Wh > 422.3 Wh
5,0.0,38.0,53.06309771295207,403.27954261843576,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,True,
6,0.0,38.0,56.41837883669031,357.31639929903866,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
2,0.0,40.0,42.99725434173732,859.9450868347465,422.3355269213965,0.2630479447763494,0.1268179371649778,46.796211446345815,1547.9011563025435,False,battery 859.9 Wh > 422.3 Wh
3,0.0,40.0,46.352535465475576,618.033806206341,422.3355269213965,0.2630479447763494,0.09114276434766058,33.631962225257354,1112.4608511714139,False,battery 618.0 Wh > 422.3 Wh
4,0.0,40.0,49.70781658921383,497.0781658921384,422.3355269213965,0.2630479447763494,0.07330517793900199,27.049837614713123,894.740698605849,False,battery 497.1 Wh > 422.3 Wh
5,0.0,40.0,53.06309771295207,424.5047817036166,422.3355269213965,0.2630479447763494,0.06260262609380682,23.10056284838658,764.1086070665099,False,battery 424.5 Wh > 422.3 Wh
6,0.0,40.0,56.41837883669031,376.12252557793545,422.3355269213965,0.2630479447763494,0.05546759153034337,20.467713004168882,677.0205460402838,True,
