payload_kg,range_km,best_n_drones,total_system_Wh_per_km,total_system_climb_energy_Wh,total_system_energy_required_Wh,battery_usable_fraction,usable_system_battery_Wh,usable_cruise_battery_Wh,battery_limited_range_km,feasible,reason
111.75,34.75,6,86.19494805456416,122.97441532428152,3118.248860220386,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3118.2 Wh > usable 2671.6 Wh
111.75,35.0,6,86.19494805456416,122.97441532428152,3139.7975972340273,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3139.8 Wh > usable 2671.6 Wh
111.75,35.25,6,86.19494805456416,122.97441532428152,3161.346334247668,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3161.3 Wh > usable 2671.6 Wh
111.75,35.5,6,86.19494805456416,122.97441532428152,3182.895071261309,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3182.9 Wh > usable 2671.6 Wh
111.75,35.75,6,86.19494805456416,122.97441532428152,3204.4438082749502,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3204.4 Wh > usable 2671.6 Wh
111.75,36.0,6,86.19494805456416,122.97441532428152,3225.9925452885914,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3226.0 Wh > usable 2671.6 Wh
111.75,36.25,6,86.19494805456416,122.97441532428152,3247.5412823022325,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3247.5 Wh > usable 2671.6 Wh
111.75,36.5,6,86.19494805456416,122.97441532428152,3269.090019315873,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3269.1 Wh > usable 2671.6 Wh
111.75,36.75,6,86.19494805456416,122.97441532428152,3290.6387563295143,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3290.6 Wh > usable 2671.6 Wh
111.75,37.0,6,86.19494805456416,122.97441532428152,3312.1874933431554,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3312.2 Wh > usable 2671.6 Wh
111.75,37.25,6,86.19494805456416,122.97441532428152,3333.7362303567966,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3333.7 Wh > usable 2671.6 Wh
111.75,37.5,6,86.19494805456416,122.97441532428152,3355.2849673704377,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3355.3 Wh > usable 2671.6 Wh
111.75,37.75,6,86.19494805456416,122.97441532428152,3376.833704384079,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3376.8 Wh > usable 2671.6 Wh
111.75,38.0,6,86.19494805456416,122.97441532428152,3398.3824413977195,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3398.4 Wh > usable 2671.6 Wh
111.75,38.25,6,86.19494805456416,122.97441532428152,3419.9311784113606,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3419.9 Wh > usable 2671.6 Wh
111.75,38.5,6,86.19494805456416,122.97441532428152,3441.4799154250018,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3441.5 Wh > usable 2671.6 Wh
111.75,38.75,6,86.19494805456416,122.97441532428152,3463.028652438643,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3463.0 Wh > usable 2671.6 Wh
111.75,39.0,6,86.19494805456416,122.97441532428152,3484.577389452284,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3484.6 Wh > usable 2671.6 Wh
111.75,39.25,6,86.19494805456416,122.97441532428152,3506.1261264659247,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3506.1 Wh > usable 2671.6 Wh
111.75,39.5,6,86.19494805456416,122.97441532428152,3527.674863479566,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3527.7 Wh > usable 2671.6 Wh
111.75,39.75,6,86.19494805456416,122.97441532428152,3549.223600493207,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3549.2 Wh > usable 2671.6 Wh
111.75,40.0,6,86.19494805456416,122.97441532428152,3570.772337506848,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3570.8 Wh > usable 2671.6 Wh
111.75,40.25,6,86.19494805456416,122.97441532428152,3592.321074520489,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3592.3 Wh > usable 2671.6 Wh
111.75,40.5,6,86.19494805456416,122.97441532428152,3613.86981153413,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3613.9 Wh > usable 2671.6 Wh
111.75,40.75,6,86.19494805456416,122.97441532428152,3635.418548547771,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3635.4 Wh > usable 2671.6 Wh
111.75,41.0,6,86.19494805456416,122.97441532428152,3656.967285561412,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3657.0 Wh > usable 2671.6 Wh
111.75,41.25,6,86.19494805456416,122.97441532428152,3678.5160225750533,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3678.5 Wh > usable 2671.6 Wh
111.75,41.5,6,86.19494805456416,122.97441532428152,3700.0647595886944,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3700.1 Wh > usable 2671.6 Wh
111.75,41.75,6,86.19494805456416,122.97441532428152,3721.613496602335,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3721.6 Wh > usable 2671.6 Wh
111.75,42.0,6,86.19494805456416,122.97441532428152,3743.162233615976,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3743.2 Wh > usable 2671.6 Wh
111.75,42.25,6,86.19494805456416,122.97441532428152,3764.7109706296173,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3764.7 Wh > usable 2671.6 Wh
111.75,42.5,6,86.19494805456416,122.97441532428152,3786.2597076432585,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3786.3 Wh > usable 2671.6 Wh
111.75,42.75,6,86.19494805456416,122.97441532428152,3807.8084446568996,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3807.8 Wh > usable 2671.6 Wh
111.75,43.0,6,86.19494805456416,122.97441532428152,3829.3571816705403,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3829.4 Wh > usable 2671.6 Wh
111.75,43.25,6,86.19494805456416,122.97441532428152,3850.9059186841814,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3850.9 Wh > usable 2671.6 Wh
111.75,43.5,6,86.19494805456416,122.97441532428152,3872.4546556978225,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3872.5 Wh > usable 2671.6 Wh
111.75,43.75,6,86.19494805456416,122.97441532428152,3894.0033927114637,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3894.0 Wh > usable 2671.6 Wh
111.75,44.0,6,86.19494805456416,122.97441532428152,3915.552129725105,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3915.6 Wh > usable 2671.6 Wh
111.75,44.25,6,86.19494805456416,122.97441532428152,3937.1008667387455,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3937.1 Wh > usable 2671.6 Wh
111.75,44.5,6,86.19494805456416,122.97441532428152,3958.6496037523866,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3958.6 Wh > usable 2671.6 Wh
111.75,44.75,6,86.19494805456416,122.97441532428152,3980.1983407660277,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 3980.2 Wh > usable 2671.6 Wh
111.75,45.0,6,86.19494805456416,122.97441532428152,4001.747077779669,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4001.7 Wh > usable 2671.6 Wh
111.75,45.25,6,86.19494805456416,122.97441532428152,4023.29581479331,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4023.3 Wh > usable 2671.6 Wh
111.75,45.5,6,86.19494805456416,122.97441532428152,4044.8445518069507,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4044.8 Wh > usable 2671.6 Wh
111.75,45.75,6,86.19494805456416,122.97441532428152,4066.393288820592,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4066.4 Wh > usable 2671.6 Wh
111.75,46.0,6,86.19494805456416,122.97441532428152,4087.942025834233,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4087.9 Wh > usable 2671.6 Wh
111.75,46.25,6,86.19494805456416,122.97441532428152,4109.490762847874,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4109.5 Wh > usable 2671.6 Wh
111.75,46.5,6,86.19494805456416,122.97441532428152,4131.039499861516,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4131.0 Wh > usable 2671.6 Wh
111.75,46.75,6,86.19494805456416,122.97441532428152,4152.588236875156,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4152.6 Wh > usable 2671.6 Wh
111.75,47.0,6,86.19494805456416,122.97441532428152,4174.136973888797,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4174.1 Wh > usable 2671.6 Wh
111.75,47.25,6,86.19494805456416,122.97441532428152,4195.685710902439,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4195.7 Wh > usable 2671.6 Wh
111.75,47.5,6,86.19494805456416,122.97441532428152,4217.234447916079,0.8,2671.629059274477,2548.654643950196,29.568492138736666,False,longest-range drone count uses 80% battery after climb and cannot fly this range; needs 4217.2 Wh > usable 2671.6 Wh
